Plataforma,Genero,Anio de lanzamiento,Puntuacion de la critica,Puntuacion de los usuarios,Ventas globales (millones),Clasificacion ESRB,Modo multijugador,Modo historia,Valoracion Final
Xbox One,Estrategia,2018,5.2,8,7.2,E10+,No,No,6.6
Xbox Series X,Carreras,2020,7.9,3,25.7,T,Si,No,5.45
Xbox One,Simulacion,2017,8,6,45.76,E10+,Si,Si,7
PC,Simulacion,2023,8.7,8,38.97,M,Si,No,8.35
PC,Accion,2016,5.1,7,17.27,E,Si,Si,6.05
PC,Aventura,2018,9.9,4,17,M,No,No,6.95
PC,Estrategia,2021,9.9,3,46.27,E,No,Si,6.45
Xbox Series X,Estrategia,2023,6,6,7.91,M,Si,No,6
PC,Estrategia,2006,8.5,7,10.16,E10+,No,No,7.75
PC,RPG,2016,8.6,2,9.42,T,No,Si,5.3
Switch,Carreras,2021,8.6,4,47.3,E10+,No,No,6.3
PS4,Plataformas,2013,8.7,9,41.48,E10+,No,No,8.85
Xbox Series X,Aventura,2025,8.2,10,31.79,M,Si,No,9.1
PS4,Estrategia,2015,9.3,5,22.59,AO,No,No,7.15
PS5,Carreras,2021,8.7,10,10.32,E10+,No,Si,9.35
PS5,Plataformas,2020,8.9,5,37.28,E,No,Si,6.95
Xbox One,Carreras,2017,7.8,7,2.44,E10+,Si,No,7.4
PC,Estrategia,2025,5.1,7,11.55,E,Si,Si,6.05
PS4,RPG,2020,5.6,8,12.55,E,Si,Si,6.8
Xbox One,Estrategia,2017,6,8,37.62,AO,Si,Si,7
PC,Puzzle,2019,9.3,7,25.89,AO,Si,No,8.15
Switch,Deportes,2020,9.2,2,37.4,M,Si,Si,5.6
Xbox Series X,Puzzle,2023,6.3,6,45.23,E,No,Si,6.15
Switch,Simulacion,2020,6.2,2,15.59,E10+,Si,Si,4.1
PC,RPG,2018,5.8,9,2.44,E,No,No,7.4
PS4,Deportes,2015,5.1,7,3.58,E10+,No,Si,6.05
PC,Deportes,2023,5.9,9,35.09,AO,Si,Si,7.45
PS4,Aventura,2014,5.3,5,17.2,T,No,Si,5.15
Xbox Series X,Estrategia,2020,7.2,7,15.34,AO,Si,Si,7.1
PS5,Accion,2025,8.1,2,35.94,M,Si,Si,5.05
PS4,RPG,2019,9.6,8,44.34,AO,Si,No,8.8
PC,Carreras,2017,8.6,8,37.34,M,Si,Si,8.3
PC,Deportes,2005,9.1,4,27.52,M,No,No,6.55
PS4,Puzzle,2020,5.4,8,32.97,E10+,No,No,6.7
PC,RPG,2016,5.5,7,24.8,M,No,Si,6.25
Xbox One,Simulacion,2020,9.6,10,33.7,AO,No,No,9.8
Switch,Puzzle,2018,7.6,9,32.17,E,Si,No,8.3
Xbox Series X,Aventura,2021,7.8,9,25.1,E,Si,No,8.4
Xbox One,Simulacion,2016,7.9,6,17.19,AO,Si,No,6.95
Switch,Estrategia,2018,8.6,1,25.81,E,Si,No,4.8
PS5,Aventura,2025,6.6,4,11.6,E,Si,No,5.3
PS4,RPG,2017,8.4,8,49.56,M,No,Si,8.2
Switch,Deportes,2022,8.5,8,27.25,E10+,No,Si,8.25
Switch,Plataformas,2019,7.3,9,31.08,T,Si,No,8.15
Switch,Estrategia,2020,9.6,5,20.87,AO,Si,Si,7.3
PC,Accion,2012,6.9,7,30.93,E,No,Si,6.95
PC,Estrategia,2024,9.5,10,14,AO,No,Si,9.75
PC,Plataformas,2012,9.5,2,8.11,M,No,Si,5.75
PS4,Estrategia,2013,9,6,27.46,E10+,Si,No,7.5
Xbox Series X,Deportes,2025,6.6,10,37.34,E10+,Si,No,8.3
Xbox One,Puzzle,2020,7.9,3,23.92,M,No,Si,5.45
PS5,Puzzle,2022,5.8,7,24.14,T,Si,Si,6.4
Xbox One,Simulacion,2015,5.8,1,40.18,E,Si,No,3.4
Xbox One,RPG,2019,6.6,3,0.29,M,Si,No,4.8
PC,Estrategia,2014,5.6,1,34.06,AO,Si,No,3.3
PS4,Estrategia,2013,5.2,3,21.87,E10+,No,Si,4.1
Xbox One,Puzzle,2015,6.8,7,15.74,E10+,Si,Si,6.9
Xbox Series X,Puzzle,2021,7.8,7,18.89,E10+,No,Si,7.4
PS4,Puzzle,2013,10,2,46.45,T,No,No,6
Switch,Accion,2023,6.5,6,11.72,E,Si,No,6.25
Xbox Series X,Estrategia,2020,9,7,20.62,T,Si,No,8
PS4,Simulacion,2018,7.6,9,18.32,E,Si,Si,8.3
PS4,Puzzle,2018,5.1,10,14.52,E,No,No,7.55
Switch,Accion,2019,6.5,6,18.3,E,Si,No,6.25
PC,RPG,2007,5.2,4,14.08,T,Si,Si,4.6
PS4,Aventura,2019,5,9,28.56,AO,No,No,7
PS4,Accion,2013,5.1,5,33.68,T,No,No,5.05
Xbox One,RPG,2015,8,1,21.94,E10+,Si,Si,4.5
PS4,Estrategia,2015,8.1,2,49.38,E,No,No,5.05
PS5,Deportes,2024,9.8,3,22.18,M,No,Si,6.4
Switch,Estrategia,2021,8.5,1,41.51,AO,No,Si,4.75
PS5,Carreras,2022,6.3,9,9.56,E,No,No,7.65
PS4,Estrategia,2018,7.2,5,26.83,AO,Si,Si,6.1
Xbox Series X,Accion,2024,6.4,4,33.25,E,Si,Si,5.2
Xbox One,Carreras,2020,9.1,6,33.01,M,Si,Si,7.55
PS4,Aventura,2020,5.2,9,18.76,AO,No,Si,7.1
Xbox Series X,Deportes,2022,8.4,8,16.55,E,No,No,8.2
Xbox One,RPG,2013,8.7,10,18,E,Si,No,9.35
PS5,Deportes,2020,8.6,9,13.45,M,Si,No,8.8
PC,Simulacion,2008,9.7,1,18.4,E,No,No,5.35
PS4,Deportes,2013,6.8,2,20.55,AO,Si,Si,4.4
Xbox One,Accion,2015,6.4,7,5.91,E,No,Si,6.7
Xbox Series X,Simulacion,2020,8.8,10,33.19,E10+,No,Si,9.4
Xbox One,Aventura,2017,9.9,10,23.24,AO,No,Si,9.95
Xbox One,Carreras,2016,7.7,9,41.27,T,Si,Si,8.35
Switch,Simulacion,2024,5.6,6,22.87,M,Si,No,5.8
Switch,Carreras,2021,9.3,3,30.7,AO,Si,Si,6.15
PS5,Aventura,2020,7.6,9,42.02,E10+,No,Si,8.3
Switch,RPG,2024,8.3,4,7.93,E,Si,No,6.15
PS5,Plataformas,2020,5.6,7,4.62,M,Si,Si,6.3
Xbox Series X,Simulacion,2025,5.5,1,37.52,T,No,Si,3.25
Switch,Carreras,2022,8.4,5,8.94,AO,Si,No,6.7
PS5,Aventura,2022,6.1,2,42.48,E,Si,No,4.05
PS5,Aventura,2021,9.5,6,13.27,E,Si,Si,7.75
Switch,Plataformas,2017,8.6,1,30.3,T,No,Si,4.8
Xbox One,Simulacion,2014,9.8,3,42.21,AO,No,Si,6.4
Switch,Plataformas,2025,6.7,5,5.13,M,Si,Si,5.85
Xbox Series X,RPG,2022,6.2,4,15.09,E10+,Si,Si,5.1
PS4,Accion,2015,7.5,10,44.61,E10+,Si,No,8.75
PS5,Deportes,2022,7.5,8,41.78,M,Si,Si,7.75
Xbox Series X,Plataformas,2021,5.7,5,43.19,E,Si,No,5.35
PS4,Plataformas,2020,6.5,5,5.41,T,No,Si,5.75
Switch,Simulacion,2022,8.3,9,2.95,E,No,Si,8.65
Xbox One,Accion,2018,5.2,2,42,M,Si,Si,3.6
Xbox One,Estrategia,2015,8.6,2,48.71,M,Si,No,5.3
Xbox One,RPG,2014,7.5,6,47.89,AO,No,No,6.75
Switch,Simulacion,2025,6,3,22.66,E,Si,Si,4.5
PS5,Plataformas,2025,6.3,1,36.61,E,No,No,3.65
PS4,Plataformas,2016,8.7,5,40.9,AO,Si,No,6.85
PS5,Puzzle,2022,6.9,10,5.3,E,Si,No,8.45
PS5,RPG,2024,5.3,10,5.1,E,Si,No,7.65
PS5,Carreras,2021,8.1,6,13.11,E,No,Si,7.05
Xbox One,Puzzle,2015,5.3,7,1.72,AO,Si,Si,6.15
PS5,Simulacion,2025,8.6,3,37.34,E,No,No,5.8
PS4,Puzzle,2014,8,4,9.09,T,Si,No,6
PS5,Simulacion,2021,8,7,49.57,E,No,No,7.5
PS5,Deportes,2025,10,7,14.86,E,No,Si,8.5
Xbox Series X,Deportes,2024,8.4,8,10.54,E10+,Si,No,8.2
Xbox One,RPG,2015,9.6,3,8.52,AO,No,Si,6.3
Switch,Carreras,2018,7.9,7,8.83,T,No,Si,7.45
Xbox Series X,Simulacion,2020,6.5,1,35.64,M,Si,Si,3.75
Switch,Carreras,2021,8.5,3,2.3,E,Si,Si,5.75
Xbox Series X,Simulacion,2025,7.5,9,5.77,E,Si,No,8.25
Xbox Series X,RPG,2021,9.5,7,36.69,E,Si,Si,8.25
PS4,RPG,2014,9.2,7,43.88,E10+,Si,Si,8.1
PS5,RPG,2025,8.5,9,42.41,E10+,No,Si,8.75
PS4,Carreras,2014,5.1,4,22.16,T,Si,Si,4.55
PS4,Estrategia,2020,6,4,38.78,AO,No,No,5
Xbox Series X,Plataformas,2025,9.8,5,9.56,AO,No,No,7.4
PC,Plataformas,2015,8.8,3,16.06,M,Si,No,5.9
Xbox Series X,RPG,2022,8.4,3,44.49,M,Si,No,5.7
Xbox One,Aventura,2017,5.3,4,8.24,E,Si,Si,4.65
PS4,Aventura,2020,6.6,2,48.93,E,Si,Si,4.3
Xbox One,Carreras,2017,7.7,4,36.9,E10+,No,No,5.85
PS4,Carreras,2013,5.9,7,36.87,E,No,No,6.45
PS5,Aventura,2023,5.9,8,12.99,T,Si,No,6.95
PS4,Deportes,2017,8.9,5,22.06,E10+,Si,Si,6.95
Switch,Plataformas,2023,6.1,8,42.49,AO,No,No,7.05
Xbox Series X,Puzzle,2020,5.7,1,14.12,M,Si,No,3.35
PS5,Carreras,2022,8.2,9,4.73,AO,No,Si,8.6
PS5,Deportes,2024,8.4,2,40.66,E,No,No,5.2
Xbox Series X,Simulacion,2021,9.7,1,38.28,E,Si,Si,5.35
PC,Accion,2024,7,6,29.14,M,No,Si,6.5
Xbox Series X,Deportes,2023,5.8,9,46.96,E10+,No,No,7.4
Switch,Accion,2018,6.8,8,35.87,E,Si,No,7.4
Switch,Accion,2020,9.1,4,39.11,E,Si,Si,6.55
PC,Deportes,2006,6.3,10,38.28,M,Si,No,8.15
Xbox One,Simulacion,2015,8,1,40.5,E,Si,No,4.5
PS4,Estrategia,2020,7.9,3,18.98,M,Si,No,5.45
Xbox One,Estrategia,2014,8,2,33.31,M,No,No,5
Xbox One,Deportes,2020,7.1,4,45.88,M,Si,Si,5.55
Xbox Series X,Accion,2020,6.1,9,12.92,AO,No,No,7.55
Xbox One,Simulacion,2018,7.1,6,7.56,M,No,Si,6.55
PS4,Simulacion,2018,5.7,4,2.05,E10+,Si,No,4.85
PS5,Simulacion,2025,8.1,10,11.59,E10+,No,No,9.05
Xbox Series X,Aventura,2021,5.1,4,30.51,M,No,Si,4.55
Xbox One,Plataformas,2017,8.5,10,11.98,E10+,Si,Si,9.25
PC,Estrategia,2017,6.1,1,24.3,E,Si,Si,3.55
PC,Deportes,2024,9.8,5,25.37,E,No,Si,7.4
Xbox Series X,Deportes,2025,6.9,8,40.41,AO,Si,No,7.45
PC,RPG,2014,8,9,45.43,AO,No,No,8.5
PS4,Carreras,2018,9.6,6,47.19,AO,No,Si,7.8
Xbox One,Puzzle,2017,7.6,6,44.12,E,Si,No,6.8
PC,Accion,2012,8.3,8,24.4,E10+,No,No,8.15
PC,Estrategia,2020,6.4,10,31.82,E,No,No,8.2
PC,Plataformas,2021,6.4,7,2.71,T,No,No,6.7
PS4,Deportes,2019,8.4,2,27.32,T,No,No,5.2
Xbox Series X,Aventura,2022,9.3,7,25.36,E10+,Si,Si,8.15
Xbox Series X,Accion,2025,8.5,5,36.08,M,Si,Si,6.75
Switch,Estrategia,2025,7.3,1,33,E10+,No,No,4.15
PS4,Puzzle,2017,5.8,2,26.6,M,Si,Si,3.9
PS5,RPG,2021,7.4,6,18.58,T,No,No,6.7
Xbox Series X,Carreras,2020,5.1,6,2.26,E10+,No,Si,5.55
Switch,Carreras,2023,9.6,1,3.99,M,No,Si,5.3
PS5,Carreras,2025,5.4,9,14.36,T,No,Si,7.2
PC,Estrategia,2005,7.3,4,43.98,AO,No,Si,5.65
Switch,Puzzle,2025,5.4,4,23.36,T,Si,No,4.7
Xbox One,Puzzle,2017,5.1,5,39.81,M,No,No,5.05
PS4,Plataformas,2014,5.7,10,23.69,M,No,No,7.85
PC,Estrategia,2024,7.1,6,11.43,E,Si,Si,6.55
PC,Deportes,2007,9.1,9,45.73,M,Si,Si,9.05
PS5,Estrategia,2021,5.8,3,39.26,T,Si,Si,4.4
Xbox Series X,Accion,2025,8,8,46.46,M,Si,Si,8
Xbox Series X,Accion,2020,9.9,2,8.7,AO,No,Si,5.95
PC,Carreras,2018,5.1,7,7.3,M,Si,Si,6.05
Xbox One,Estrategia,2019,5.2,6,9.92,T,Si,No,5.6
Xbox Series X,Deportes,2023,7.2,4,30.8,E,No,No,5.6
Switch,Plataformas,2020,5.9,9,49.7,E,Si,Si,7.45
Xbox Series X,Accion,2023,7.3,8,10.93,AO,Si,No,7.65
PS5,Deportes,2024,8.5,8,8.79,M,No,No,8.25
PS4,Deportes,2019,7,6,41.55,E,No,Si,6.5
PS4,Aventura,2013,5.7,9,23.13,M,Si,Si,7.35
Xbox One,Plataformas,2019,9.6,1,32.98,T,No,Si,5.3
PS5,Deportes,2022,7.3,4,5.17,E,No,Si,5.65
Xbox One,Aventura,2020,8.3,1,21.6,E,Si,No,4.65
Xbox Series X,RPG,2024,5.3,3,6.04,AO,Si,Si,4.15
PS4,Carreras,2019,9.9,2,26.36,E,Si,Si,5.95
Xbox One,Deportes,2013,6.8,2,30.96,E,Si,No,4.4
Xbox Series X,Simulacion,2021,6.2,2,2.35,E10+,No,Si,4.1
Xbox One,Aventura,2018,6.4,7,5.16,E,Si,No,6.7
PS5,Deportes,2021,6.3,2,29.64,E,Si,Si,4.15
Xbox One,Deportes,2015,5.8,2,0.43,M,Si,No,3.9
Switch,Puzzle,2021,9.6,7,8.22,AO,No,Si,8.3
PS5,RPG,2022,7.6,3,14.88,M,No,No,5.3
Switch,Aventura,2023,9.6,1,34.3,T,No,Si,5.3
Xbox Series X,Puzzle,2022,6.4,8,41.41,T,No,No,7.2
Switch,Deportes,2021,5.8,8,29.42,E10+,Si,No,6.9
Xbox Series X,Aventura,2024,5,2,1.06,T,Si,Si,3.5
PC,Accion,2011,5.7,3,18.11,E10+,Si,Si,4.35
PS5,Estrategia,2022,5.9,10,39.06,E10+,Si,Si,7.95
PC,Simulacion,2018,9.2,4,7.67,E,Si,Si,6.6
PC,Puzzle,2018,7,6,11.55,T,Si,No,6.5
PS4,Plataformas,2013,6.6,3,4.33,T,Si,No,4.8
Switch,Deportes,2018,6.3,1,48.06,AO,No,Si,3.65
Xbox Series X,Puzzle,2024,9.5,1,19.48,E,No,No,5.25
PS4,Accion,2019,6.9,7,33.09,M,No,No,6.95
Xbox Series X,Estrategia,2023,8,7,44.86,T,Si,Si,7.5
PC,Puzzle,2009,8.7,1,44.27,E,Si,No,4.85
PC,Carreras,2008,6.3,6,48.43,E10+,Si,No,6.15
Xbox Series X,Deportes,2023,7.2,10,44.24,E10+,Si,Si,8.6
PS4,Accion,2019,7.7,8,30.26,AO,No,Si,7.85
PS4,RPG,2015,5,7,31.2,E,No,No,6
Switch,Accion,2020,6.3,10,48.08,AO,Si,No,8.15
Xbox One,Carreras,2018,6.3,8,10.27,E,No,No,7.15
Xbox One,Puzzle,2014,5.1,1,27.13,AO,No,Si,3.05
PC,Carreras,2014,5.3,10,4.53,M,No,Si,7.65
Xbox Series X,Estrategia,2025,5.2,3,45.51,E10+,Si,No,4.1
Switch,RPG,2023,5.6,9,19.99,E10+,Si,No,7.3
Xbox Series X,Plataformas,2025,9.5,2,9.52,M,Si,Si,5.75
PS4,Deportes,2017,9.5,2,23.7,E,Si,No,5.75
PC,Plataformas,2010,7.7,5,30.56,M,No,Si,6.35
Xbox One,Carreras,2014,8.2,7,35.27,T,No,Si,7.6
Xbox One,Plataformas,2017,7.9,2,16.72,AO,Si,No,4.95
Switch,Plataformas,2025,8.1,9,2.98,E,Si,No,8.55
PS4,RPG,2020,8.2,1,13.81,E,Si,Si,4.6
PS5,RPG,2025,9.4,7,0.14,T,Si,Si,8.2
PS4,Estrategia,2014,8,7,13.96,E,Si,Si,7.5
Xbox One,Accion,2019,5.8,5,3.73,E10+,Si,Si,5.4
PS5,Carreras,2025,9.9,4,14.61,AO,No,No,6.95
PS4,Deportes,2015,8.8,6,3.32,T,Si,No,7.4
PC,Puzzle,2012,8.1,3,35,M,Si,Si,5.55
Switch,Deportes,2017,8.5,6,25.48,AO,No,No,7.25
PS5,RPG,2024,6.4,4,41.65,E10+,No,No,5.2
Xbox One,Puzzle,2015,8.2,10,45.49,M,No,Si,9.1
PS4,Simulacion,2019,9.9,6,19.78,M,No,No,7.95
PS5,Estrategia,2021,9.9,4,23.03,E10+,Si,No,6.95
PS5,Simulacion,2020,7.5,10,45.16,T,No,Si,8.75
PS5,Puzzle,2021,7.6,6,28.99,AO,No,No,6.8
PS4,Carreras,2015,7.2,1,33.21,E,No,No,4.1
PS4,Estrategia,2018,9.1,10,49.28,AO,No,Si,9.55
PS5,Deportes,2023,8.7,2,40.91,E,Si,No,5.35
Xbox Series X,Estrategia,2023,7,9,46.51,AO,Si,No,8
Switch,Plataformas,2020,7.1,4,4.68,AO,No,Si,5.55
Switch,Aventura,2017,9.8,8,30.69,M,Si,No,8.9
PS4,Simulacion,2019,7.8,7,2.12,AO,No,No,7.4
PS5,Deportes,2022,9,4,24.22,E,Si,Si,6.5
Xbox Series X,Carreras,2023,9.9,6,47.16,M,No,Si,7.95
PC,Estrategia,2007,8.5,3,10.55,AO,No,No,5.75
PS5,Aventura,2020,7,1,23.37,AO,Si,Si,4
Xbox One,Carreras,2017,6.4,9,11.36,T,No,No,7.7
PS5,Deportes,2024,7.7,7,9.88,AO,Si,Si,7.35
PS4,Deportes,2018,7.5,4,27.64,T,Si,Si,5.75
Switch,Accion,2023,8.6,6,25.44,T,No,Si,7.3
Xbox Series X,Estrategia,2020,6.6,6,8.87,AO,No,No,6.3
PS5,Estrategia,2024,8.4,2,3.11,M,No,No,5.2
Xbox One,Puzzle,2016,5.1,8,49.26,AO,No,Si,6.55
Xbox One,Simulacion,2015,5.3,7,7.21,E,Si,Si,6.15
PS4,Accion,2017,5.2,4,36.55,T,No,Si,4.6
Xbox Series X,Deportes,2024,7.4,9,38.97,T,Si,Si,8.2
PC,Carreras,2021,9.7,5,9.3,T,No,No,7.35
PC,Plataformas,2005,7,2,33.16,AO,Si,Si,4.5
Xbox Series X,Aventura,2020,7.3,6,5.27,AO,Si,Si,6.65
PS4,Accion,2018,9.1,10,32.72,T,No,Si,9.55
Switch,Puzzle,2022,9.6,9,42.54,E10+,No,Si,9.3
Xbox Series X,Estrategia,2023,7.9,2,29.35,M,Si,Si,4.95
Switch,Aventura,2025,7.3,5,36.72,AO,No,No,6.15
PC,Deportes,2017,7.3,9,10.22,M,Si,Si,8.15
Switch,Plataformas,2023,8.9,7,45.38,E10+,Si,No,7.95
PS4,Accion,2019,9,1,2.02,E10+,Si,Si,5
PS5,Carreras,2025,7.6,1,28.84,M,Si,Si,4.3
Xbox Series X,RPG,2023,8.6,10,28.35,AO,Si,No,9.3
Xbox Series X,RPG,2025,5.9,4,17.89,AO,No,Si,4.95
PS4,Aventura,2018,6.3,4,19.34,AO,No,Si,5.15
Xbox One,Deportes,2017,9.4,4,4.69,M,Si,Si,6.7
Xbox Series X,Estrategia,2025,6.7,6,29.54,E10+,No,No,6.35
Xbox Series X,Deportes,2021,7.4,7,0.56,T,No,No,7.2
Xbox Series X,Puzzle,2025,6.7,10,30.77,AO,No,No,8.35
PS4,Simulacion,2015,8.9,7,47.83,T,Si,Si,7.95
PS4,Plataformas,2014,8.2,7,2.89,E,Si,Si,7.6
PS5,Plataformas,2021,6.8,4,10.31,T,No,No,5.4
PC,Carreras,2009,5,8,40.82,E10+,Si,No,6.5
PS4,Carreras,2016,7.3,1,24.14,M,Si,No,4.15
Xbox One,Aventura,2013,8.9,10,29.78,T,No,No,9.45
PC,Aventura,2006,9,6,22.28,M,Si,No,7.5
Switch,Aventura,2022,8.4,3,44.55,T,Si,No,5.7
Xbox Series X,Carreras,2020,8.8,10,31.42,E,No,No,9.4
Switch,Estrategia,2021,7.9,5,34.85,AO,Si,No,6.45
Switch,Carreras,2024,6.7,1,44.22,E,Si,No,3.85
Xbox One,Plataformas,2017,7.9,2,5.05,E,No,No,4.95
Xbox One,RPG,2014,6.5,8,22.11,M,No,Si,7.25
PS5,Deportes,2020,7.3,3,16.76,E10+,No,No,5.15
Switch,Aventura,2019,8.3,5,32.76,AO,No,Si,6.65
PC,Deportes,2012,5.5,3,46.38,E10+,No,Si,4.25
Xbox One,RPG,2019,7.5,7,17.16,M,No,No,7.25
PS5,Aventura,2022,9.7,4,26.69,T,Si,Si,6.85
PC,Simulacion,2017,7.1,2,7.49,AO,No,No,4.55
PC,Accion,2020,7.7,4,17,E,No,No,5.85
Xbox One,Simulacion,2017,5.3,10,30.65,E10+,No,No,7.65
PC,RPG,2023,8,9,12.49,T,No,Si,8.5
Switch,Aventura,2022,5.5,2,16.57,AO,No,No,3.75
PS4,Accion,2014,5.1,5,43.28,T,No,No,5.05
PC,Puzzle,2017,6.7,1,12,T,Si,Si,3.85
PC,Carreras,2006,10,2,27.85,E10+,Si,No,6
Xbox Series X,Simulacion,2022,6,9,45.55,AO,No,No,7.5
PS4,Deportes,2020,7.1,5,31.59,T,Si,Si,6.05
PS4,Accion,2017,7.2,10,3.49,M,No,Si,8.6
PS4,Deportes,2013,5,5,12.89,E10+,Si,No,5
Switch,Carreras,2024,7.6,6,7.6,AO,No,Si,6.8
Switch,Aventura,2018,5.4,7,24.85,AO,No,Si,6.2
Xbox Series X,Estrategia,2022,10,3,10.42,AO,Si,Si,6.5
PC,Deportes,2021,6.7,2,15.95,AO,Si,Si,4.35
Xbox Series X,Plataformas,2022,9.1,7,39.64,AO,No,Si,8.05
Switch,Plataformas,2018,7.8,9,1.81,M,Si,Si,8.4
PS5,Estrategia,2023,5.7,10,23.7,AO,Si,No,7.85
Xbox Series X,RPG,2020,5,1,41.38,T,Si,Si,3
PS5,Plataformas,2023,5.2,2,20.77,AO,No,No,3.6
PS4,Carreras,2016,6.8,5,15.41,M,No,No,5.9
Xbox One,Carreras,2016,7.3,9,14.34,T,No,Si,8.15
PS5,Estrategia,2021,6.1,1,11.69,AO,Si,No,3.55
PS4,Plataformas,2015,8.1,1,44.02,E,No,Si,4.55
PC,Deportes,2010,8.6,4,38.84,T,No,Si,6.3
PS4,Deportes,2015,8.5,5,9.95,E10+,No,Si,6.75
Switch,Deportes,2020,8.5,3,30.43,E10+,Si,Si,5.75
PS5,Accion,2024,5.9,4,19.81,E10+,Si,No,4.95
Xbox One,Accion,2015,8.8,10,24.46,E10+,Si,Si,9.4
PC,RPG,2010,6.8,1,30.03,E,No,Si,3.9
Switch,Aventura,2019,10,4,25.76,E,No,Si,7
PS4,Accion,2016,6.6,5,12.3,E10+,Si,Si,5.8
Switch,Plataformas,2018,9.8,4,10.74,E10+,Si,No,6.9
PC,Plataformas,2022,8.6,5,35.66,AO,Si,Si,6.8
Xbox Series X,Carreras,2023,7.7,6,46.48,AO,No,Si,6.85
Xbox Series X,Estrategia,2024,6.5,2,24.48,E10+,No,No,4.25
PS5,Accion,2024,10,6,21.08,AO,No,Si,8
PC,Aventura,2011,8.7,4,25.27,T,Si,No,6.35
PS4,Accion,2020,7.3,2,7.64,T,Si,No,4.65
Xbox Series X,Carreras,2025,5.5,9,20.65,AO,Si,Si,7.25
Xbox Series X,Carreras,2024,8.7,8,2.18,M,Si,No,8.35
PS5,Plataformas,2024,7.1,10,0.6,M,Si,No,8.55
Xbox One,Estrategia,2018,8.8,2,34.01,AO,No,Si,5.4
Switch,Aventura,2023,8,4,36.7,E,No,Si,6
Xbox Series X,Accion,2020,8.8,4,38.73,T,Si,Si,6.4
PS5,Accion,2022,9.1,3,43.94,T,Si,Si,6.05
PS4,Estrategia,2017,6.6,9,21.28,T,No,No,7.8
Xbox One,Puzzle,2018,8.9,7,32.2,AO,Si,No,7.95
PC,Estrategia,2005,5.7,1,31.31,E,Si,No,3.35
PS5,Aventura,2022,6.4,5,19.6,M,Si,No,5.7
PS4,Accion,2015,9,4,16.58,T,Si,No,6.5
Xbox Series X,Puzzle,2021,7.3,7,28.02,E,No,Si,7.15
PS5,Simulacion,2024,7.8,9,18.89,E,No,No,8.4
Xbox One,Puzzle,2018,8.4,9,35.94,M,No,Si,8.7
PS4,Aventura,2016,5.7,8,2.09,E,No,Si,6.85
PS5,Estrategia,2025,8.5,10,47.84,E10+,Si,Si,9.25
Xbox Series X,Carreras,2020,6.8,3,27.77,E,No,Si,4.9
Switch,Aventura,2018,8,1,39.37,AO,Si,Si,4.5
PC,Simulacion,2017,7.5,3,19.82,AO,Si,Si,5.25
PS4,Plataformas,2019,5.7,6,21.88,T,No,No,5.85
Xbox Series X,Deportes,2023,7.4,7,46.52,T,Si,No,7.2
Switch,Accion,2025,9.6,6,49.68,E10+,Si,Si,7.8
PS5,Plataformas,2021,6,7,45.82,AO,No,No,6.5
Switch,Deportes,2018,6.6,1,22.14,T,No,No,3.8
PC,Puzzle,2013,5.8,6,34.54,T,No,Si,5.9
PS5,Estrategia,2021,9.1,5,22.24,T,No,Si,7.05
PC,RPG,2015,7,2,37.11,T,No,Si,4.5
PS4,Carreras,2018,7.3,4,7.78,T,Si,No,5.65
Switch,Puzzle,2017,10,10,1.5,T,Si,Si,10
PS5,Carreras,2024,7.7,6,31.68,M,No,Si,6.85
Xbox One,Carreras,2015,6.4,4,5.75,AO,No,No,5.2
PC,Deportes,2025,5.6,6,2.11,M,No,No,5.8
PS5,Puzzle,2025,6.1,4,2.42,E,Si,No,5.05
Xbox One,Aventura,2013,7.7,4,25.77,T,No,No,5.85
PS4,Simulacion,2020,7.5,8,7.53,T,Si,Si,7.75
PS5,Simulacion,2021,8.7,6,43.15,AO,No,Si,7.35
PC,Carreras,2018,7.5,1,24.85,T,Si,Si,4.25
PS5,Aventura,2020,7,9,23.8,T,No,No,8
Xbox Series X,Deportes,2022,8.9,4,40.8,T,Si,No,6.45
Xbox Series X,Aventura,2022,9.5,2,37.37,M,Si,Si,5.75
PS5,Accion,2022,7.7,3,37.88,T,No,Si,5.35
Switch,Plataformas,2018,8.2,8,22.68,T,No,No,8.1
Xbox Series X,Simulacion,2021,7.4,9,47.45,E10+,No,Si,8.2
Switch,Carreras,2019,7.9,2,5.88,AO,No,No,4.95
Xbox One,Carreras,2018,5.8,4,15.45,M,Si,No,4.9
Switch,Deportes,2019,6.7,8,3.24,AO,No,No,7.35
Switch,Accion,2019,5.4,8,21.53,M,Si,Si,6.7
PS5,Estrategia,2025,5.7,9,29.71,E10+,No,Si,7.35
PC,Estrategia,2005,8,3,44.7,M,Si,Si,5.5
PS5,Plataformas,2020,8.4,7,41.52,AO,Si,No,7.7
Xbox One,Carreras,2018,6.3,8,27.9,T,Si,Si,7.15
Xbox Series X,Estrategia,2020,5.4,1,31.18,AO,Si,No,3.2
Switch,Accion,2022,9.8,10,26.33,E,Si,No,9.9
Xbox Series X,Plataformas,2023,5.5,3,39.28,AO,No,Si,4.25
PS5,Simulacion,2025,8,4,6.63,E10+,No,No,6
Switch,Plataformas,2023,9.4,3,16.94,E,No,Si,6.2
PC,Deportes,2010,5.3,9,46.95,AO,Si,No,7.15
PC,Estrategia,2018,9.8,8,17.87,AO,Si,No,8.9
Switch,RPG,2024,9.5,7,5.8,E10+,Si,No,8.25
